category	subject_prefix	predicate	object_prefix	count_star()
biolink:Association	APO	biolink:homologous_to	FBcv	1
biolink:Association	APO	biolink:homologous_to	FYPO	7
biolink:Association	APO	biolink:homologous_to	HP	2
biolink:Association	APO	biolink:homologous_to	MP	2
biolink:Association	APO	biolink:homologous_to	PHIPO	2
biolink:Association	APO	biolink:homologous_to	WBPhenotype	1
biolink:Association	DDPHENO	biolink:homologous_to	FBcv	7
biolink:Association	DDPHENO	biolink:homologous_to	FYPO	114
biolink:Association	DDPHENO	biolink:homologous_to	HP	5
biolink:Association	DDPHENO	biolink:homologous_to	MP	29
biolink:Association	DDPHENO	biolink:homologous_to	PHIPO	21
biolink:Association	DDPHENO	biolink:homologous_to	PLANP	2
biolink:Association	DDPHENO	biolink:homologous_to	WBPhenotype	21
biolink:Association	DDPHENO	biolink:homologous_to	XPO	10
biolink:Association	FBcv	biolink:homologous_to	APO	1
biolink:Association	FBcv	biolink:homologous_to	DDPHENO	7
biolink:Association	FBcv	biolink:homologous_to	FYPO	11
biolink:Association	FBcv	biolink:homologous_to	HP	7
biolink:Association	FBcv	biolink:homologous_to	MP	25
biolink:Association	FBcv	biolink:homologous_to	PHIPO	2
biolink:Association	FBcv	biolink:homologous_to	WBPhenotype	21
biolink:Association	FBcv	biolink:homologous_to	XPO	9
biolink:Association	FBcv	biolink:homologous_to	ZP	1
biolink:Association	FYPO	biolink:homologous_to	APO	7
biolink:Association	FYPO	biolink:homologous_to	DDPHENO	114
biolink:Association	FYPO	biolink:homologous_to	FBcv	11
biolink:Association	FYPO	biolink:homologous_to	HP	4
biolink:Association	FYPO	biolink:homologous_to	MGPO	1
biolink:Association	FYPO	biolink:homologous_to	MP	45
biolink:Association	FYPO	biolink:homologous_to	PHIPO	198
biolink:Association	FYPO	biolink:homologous_to	PLANP	3
biolink:Association	FYPO	biolink:homologous_to	WBPhenotype	35
biolink:Association	FYPO	biolink:homologous_to	XPO	21
biolink:Association	FYPO	biolink:homologous_to	ZP	1
biolink:Association	HP	biolink:homologous_to	APO	2
biolink:Association	HP	biolink:homologous_to	DDPHENO	5
biolink:Association	HP	biolink:homologous_to	FBcv	7
biolink:Association	HP	biolink:homologous_to	FYPO	4
biolink:Association	HP	biolink:homologous_to	MGPO	2
biolink:Association	HP	biolink:homologous_to	MP	1978
biolink:Association	HP	biolink:homologous_to	PHIPO	2
biolink:Association	HP	biolink:homologous_to	PLANP	3
biolink:Association	HP	biolink:homologous_to	WBPhenotype	26
biolink:Association	HP	biolink:homologous_to	XPO	162
biolink:Association	HP	biolink:homologous_to	ZP	70
biolink:Association	MGPO	biolink:homologous_to	FYPO	1
biolink:Association	MGPO	biolink:homologous_to	HP	2
biolink:Association	MGPO	biolink:homologous_to	PHIPO	1
biolink:Association	MGPO	biolink:homologous_to	WBPhenotype	5
biolink:Association	MGPO	biolink:homologous_to	XPO	1
biolink:Association	MP	biolink:homologous_to	APO	2
biolink:Association	MP	biolink:homologous_to	DDPHENO	29
biolink:Association	MP	biolink:homologous_to	FBcv	25
biolink:Association	MP	biolink:homologous_to	FYPO	45
biolink:Association	MP	biolink:homologous_to	HP	1978
biolink:Association	MP	biolink:homologous_to	PHIPO	5
biolink:Association	MP	biolink:homologous_to	PLANP	9
biolink:Association	MP	biolink:homologous_to	WBPhenotype	93
biolink:Association	MP	biolink:homologous_to	XPO	541
biolink:Association	MP	biolink:homologous_to	ZP	202
biolink:Association	PHIPO	biolink:homologous_to	APO	2
biolink:Association	PHIPO	biolink:homologous_to	DDPHENO	21
biolink:Association	PHIPO	biolink:homologous_to	FBcv	2
biolink:Association	PHIPO	biolink:homologous_to	FYPO	198
biolink:Association	PHIPO	biolink:homologous_to	HP	2
biolink:Association	PHIPO	biolink:homologous_to	MGPO	1
biolink:Association	PHIPO	biolink:homologous_to	MP	5
biolink:Association	PHIPO	biolink:homologous_to	PLANP	1
biolink:Association	PHIPO	biolink:homologous_to	WBPhenotype	6
biolink:Association	PHIPO	biolink:homologous_to	XPO	5
biolink:Association	PLANP	biolink:homologous_to	DDPHENO	2
biolink:Association	PLANP	biolink:homologous_to	FYPO	3
biolink:Association	PLANP	biolink:homologous_to	HP	3
biolink:Association	PLANP	biolink:homologous_to	MP	9
biolink:Association	PLANP	biolink:homologous_to	PHIPO	1
biolink:Association	PLANP	biolink:homologous_to	WBPhenotype	10
biolink:Association	PLANP	biolink:homologous_to	XPO	87
biolink:Association	PLANP	biolink:homologous_to	ZP	2
biolink:Association	WBPhenotype	biolink:homologous_to	APO	1
biolink:Association	WBPhenotype	biolink:homologous_to	DDPHENO	21
biolink:Association	WBPhenotype	biolink:homologous_to	FBcv	21
biolink:Association	WBPhenotype	biolink:homologous_to	FYPO	35
biolink:Association	WBPhenotype	biolink:homologous_to	HP	26
biolink:Association	WBPhenotype	biolink:homologous_to	MGPO	5
biolink:Association	WBPhenotype	biolink:homologous_to	MP	93
biolink:Association	WBPhenotype	biolink:homologous_to	PHIPO	6
biolink:Association	WBPhenotype	biolink:homologous_to	PLANP	10
biolink:Association	WBPhenotype	biolink:homologous_to	XPO	26
biolink:Association	WBPhenotype	biolink:homologous_to	ZP	9
biolink:Association	XPO	biolink:homologous_to	DDPHENO	10
biolink:Association	XPO	biolink:homologous_to	FBcv	9
biolink:Association	XPO	biolink:homologous_to	FYPO	21
biolink:Association	XPO	biolink:homologous_to	HP	162
biolink:Association	XPO	biolink:homologous_to	MGPO	1
biolink:Association	XPO	biolink:homologous_to	MP	541
biolink:Association	XPO	biolink:homologous_to	PHIPO	5
biolink:Association	XPO	biolink:homologous_to	PLANP	87
biolink:Association	XPO	biolink:homologous_to	WBPhenotype	26
biolink:Association	XPO	biolink:homologous_to	ZP	208
biolink:Association	ZP	biolink:homologous_to	FBcv	1
biolink:Association	ZP	biolink:homologous_to	FYPO	1
biolink:Association	ZP	biolink:homologous_to	HP	70
biolink:Association	ZP	biolink:homologous_to	MP	202
biolink:Association	ZP	biolink:homologous_to	PLANP	2
biolink:Association	ZP	biolink:homologous_to	WBPhenotype	9
biolink:Association	ZP	biolink:homologous_to	XPO	208
